phenotypes_per_case
1
4
3
2
2
3
7
10
1
2
3
9
14
5
3
1
4
1
1
1
2
6
1
3
4
2
1
1
2
4
5
2
4
9
4
4
15
1
6
5
4
3
3
1
4
10
18
5
8
6
10
8
2
2
7
3
1
8
6
5
16
4
4
1
2
1
6
4
3
1
10
6
14
7
1
3
2
5
32
6
1
2
5
5
3
1
6
4
2
6
1
1
1
4
3
29
6
1
12
7
9
6
3
2
1
1
4
10
1
3
3
2
4
3
7
11
2
4
8
1
16
11
4
5
3
4
1
3
3
