2026-02-23 21:01:48,057 - INFO - Dataset loaded from data/simulation/fnn_dataset_all_20260223_201256_mean | format=fnn_memmap | samples train=36603 val=5229 test=10458 | split_source=precomputed | workers(train=16, eval=4) | multiprocessing=False | max_queue_size=32
2026-02-23 21:01:48,504 - INFO - Starting fit: start_epoch=1, epochs=40, batch_size=1024
2026-02-23 21:03:33,105 - INFO - Epoch 33 | Validation ranking metrics | MRR: 0.1854 | Top-1: 0.1260, Top-5: 0.2387, Top-10: 0.2934, Top-20: 0.3597
2026-02-23 21:03:36,159 - INFO - Epoch 34 | Validation ranking metrics | MRR: 0.1870 | Top-1: 0.1304, Top-5: 0.2352, Top-10: 0.2943, Top-20: 0.3597
2026-02-23 21:03:39,245 - INFO - Epoch 35 | Validation ranking metrics | MRR: 0.1858 | Top-1: 0.1279, Top-5: 0.2337, Top-10: 0.2949, Top-20: 0.3607
2026-02-23 21:03:42,582 - INFO - Epoch 36 | Validation ranking metrics | MRR: 0.1837 | Top-1: 0.1253, Top-5: 0.2343, Top-10: 0.2930, Top-20: 0.3567
2026-02-23 21:03:47,078 - INFO - Epoch 37 | Validation ranking metrics | MRR: 0.1877 | Top-1: 0.1302, Top-5: 0.2396, Top-10: 0.2957, Top-20: 0.3614
2026-02-23 21:03:51,086 - INFO - Epoch 38 | Validation ranking metrics | MRR: 0.1879 | Top-1: 0.1308, Top-5: 0.2385, Top-10: 0.2920, Top-20: 0.3592
2026-02-23 21:04:18,349 - INFO - Epoch 39 | Validation ranking metrics | MRR: 0.1864 | Top-1: 0.1289, Top-5: 0.2366, Top-10: 0.2915, Top-20: 0.3593
2026-02-23 21:04:21,657 - INFO - Epoch 40 | Validation ranking metrics | MRR: 0.1846 | Top-1: 0.1258, Top-5: 0.2352, Top-10: 0.2943, Top-20: 0.3603
2026-02-23 21:04:24,182 - INFO - Saved history to training/output_fnn_all_20260223_201256_mean_full/history.json
2026-02-23 21:04:24,183 - INFO - Saved test results to training/output_fnn_all_20260223_201256_mean_full/test_results.json
2026-02-23 21:04:24,183 - INFO - Final Test Metrics | Loss: 6.3114 | MRR: 0.1575 | Top-1: 0.1022, Top-5: 0.2042, Top-10: 0.2631, Top-20: 0.3333
