gene,case_idx,original_count,augmented_count,num_nodes,num_edges,avg_degree
ATL1,6,3,22,22,44,2.0
ATL1,7,3,22,22,44,2.0
ATL1,8,3,13,13,26,2.0
ATL1,9,5,31,31,68,2.193548387096774
ATL1,10,3,22,22,44,2.0
ATL3,0,1,6,6,10,1.6666666666666667
ATL3,1,1,6,6,10,1.6666666666666667
ATL3,2,1,6,6,10,1.6666666666666667
ATL3,3,1,6,6,10,1.6666666666666667
ATL3,4,1,6,6,10,1.6666666666666667
ATM,0,2,28,28,62,2.2142857142857144
ATM,1,2,15,15,30,2.0
ATM,2,2,28,28,62,2.2142857142857144
ATM,3,2,15,15,30,2.0
ATM,4,2,15,15,30,2.0
ATM,5,3,34,34,74,2.176470588235294
ATP13A2,0,15,69,69,154,2.2318840579710146
ATP13A2,1,8,32,32,66,2.0625
ATP13A2,2,8,37,37,84,2.27027027027027
ATP13A2,3,13,74,74,170,2.2972972972972974
ATP13A2,4,11,52,52,118,2.269230769230769
ATP13A2,5,8,35,35,72,2.057142857142857
ATP13A2,6,10,35,35,72,2.057142857142857
ATP1A1,0,2,12,12,24,2.0
ATP1A1,1,2,11,11,22,2.0
ATP1A1,2,5,28,28,60,2.142857142857143
ATP1A1,3,5,28,28,60,2.142857142857143
ATP1A1,4,6,30,30,64,2.1333333333333333
ATP1A1,5,2,12,12,24,2.0
ATP1A1,6,7,31,31,66,2.129032258064516
ATP1A1,7,6,30,30,64,2.1333333333333333
ATP1A1,8,5,28,28,60,2.142857142857143
ATP1A3,0,3,15,15,28,1.8666666666666667
ATP1A3,1,1,11,11,20,1.8181818181818181
ATP1A3,2,3,15,15,28,1.8666666666666667
ATP1A3,3,4,26,26,54,2.076923076923077
ATP1A3,4,2,12,12,22,1.8333333333333333
ATP1A3,5,2,14,14,30,2.142857142857143
ATP1A3,6,3,15,15,28,1.8666666666666667
ATP1A3,7,3,15,15,28,1.8666666666666667
ATP1A3,8,2,12,12,22,1.8333333333333333
ATP1A3,9,1,7,7,12,1.7142857142857142
ATP5MK,0,1,10,10,20,2.0
ATP5MK,1,3,19,19,40,2.1052631578947367
ATP5MK,2,6,27,27,54,2.0
ATP5MK,3,4,23,23,46,2.0
ATP5MK,4,3,17,17,32,1.8823529411764706
ATP6AP2,0,8,42,42,92,2.1904761904761907
ATP6AP2,1,7,35,35,76,2.1714285714285713
ATP6AP2,2,6,26,26,56,2.1538461538461537
ATP6AP2,3,6,27,27,58,2.1481481481481484
ATP6AP2,4,10,74,74,168,2.27027027027027
ATP6AP2,5,5,39,39,90,2.3076923076923075
ATP6AP2,6,11,55,55,126,2.290909090909091
ATP6V0A2,0,10,50,50,108,2.16
ATP6V0A2,1,12,75,75,164,2.1866666666666665
ATP6V0A2,2,17,86,86,190,2.2093023255813953
ATP6V0A2,3,5,27,27,52,1.9259259259259258
ATP6V0A2,4,5,35,35,74,2.1142857142857143
ATP6V0A2,5,10,51,51,112,2.196078431372549
ATP6V0A2,6,17,99,99,224,2.2626262626262625
ATP6V1A,0,14,72,72,160,2.2222222222222223
ATP6V1A,1,7,34,34,66,1.9411764705882353
