phenotypes_per_case
9
12
6
8
7
7
4
12
7
8
13
9
3
16
11
4
14
11
11
4
15
7
7
16
14
11
13
12
10
1
19
6
4
13
8
6
11
9
10
4
11
9
3
4
5
5
5
10
3
7
4
5
4
7
14
12
9
7
2
2
9
4
11
3
17
8
10
5
8
6
7
7
6
7
1
2
10
4
20
13
9
12
4
3
4
13
11
9
6
6
9
16
8
5
10
6
2
13
20
16
6
3
11
4
12
6
5
9
5
5
4
16
9
12
10
6
13
3
13
12
10
9
12
14
4
13
19
2
4
17
9
3
15
7
9
4
2
2
5
2
4
2
4
3
3
6
7
6
10
4
13
19
7
2
4
3
14
4
5
6
6
5
5
3
6
4
3
9
10
7
7
11
5
4
7
6
10
5
6
8
2
6
10
1
3
6
7
9
10
4
5
2
6
7
3
9
4
14
7
4
9
5
12
9
27
9
3
11
6
5
10
18
7
8
5
8
3
7
13
9
6
7
3
12
9
2
2
6
6
