step,silhouette,davies_bouldin
Original Input (BioBERT),-0.3019325383202245,4.531984986952141
Step 1 (GNN Layer 1),-0.27499666810035706,4.462442256764855
Step 2 (GNN Layer 2),-0.18492667376995087,4.402269072297871
Step 3 (GNN Layer 3),-0.16985595226287842,4.985216978431926
