phenotypes_per_case
45
25
39
39
52
11
1
4
65
50
23
14
33
61
65
17
34
16
34
26
17
6
28
16
20
13
8
12
3
21
20
13
27
12
11
7
6
24
19
6
27
50
33
13
28
7
55
26
41
43
10
4
28
87
45
35
38
52
59
59
21
57
57
57
50
33
6
8
2
31
24
8
49
34
23
30
19
22
31
10
9
2
3
23
2
2
34
5
33
73
3
4
60
2
49
119
39
44
41
72
21
13
36
77
26
27
26
53
23
42
28
22
9
29
40
13
34
25
8
27
45
24
9
29
37
26
30
29
30
8
8
22
17
9
10
37
11
9
20
8
59
23
6
3
5
5
39
9
28
44
26
28
15
50
42
18
6
16
14
12
42
21
25
26
14
18
42
33
28
31
4
16
3
51
22
5
71
13
14
71
14
71
71
38
29
24
10
14
4
3
40
12
17
36
35
16
19
24
13
12
25
9
17
6
14
40
4
12
63
1
44
4
19
47
37
12
14
2
27
2
3
50
28
16
8
19
47
6
27
24
7
10
21
10
10
16
36
15
11
17
11
25
11
16
7
14
6
5
16
18
20
19
23
16
6
5
33
8
25
10
12
13
4
37
6
7
9
14
15
8
3
3
5
13
4
11
7
20
31
18
18
15
21
13
26
13
26
3
4
2
2
2
9
7
3
3
8
3
5
3
5
5
4
2
2
2
2
4
3
7
3
3
5
8
5
24
4
6
2
4
8
13
7
37
20
15
8
3
5
4
14
19
20
3
4
3
20
35
4
7
19
16
2
2
6
10
12
5
5
6
2
11
8
4
17
23
4
10
3
4
6
18
3
2
9
4
2
71
3
4
2
2
2
2
2
2
1
23
12
40
27
39
38
38
30
19
27
71
71
30
71
27
30
38
17
18
16
23
32
30
38
35
49
39
62
26
48
18
20
7
33
17
24
23
13
15
35
59
45
61
23
39
90
52
26
27
50
63
63
53
65
15
65
65
65
65
65
22
44
65
65
15
22
65
65
15
22
61
29
68
70
33
26
10
28
34
8
29
24
24
19
45
65
65
58
32
32
18
53
39
53
16
20
32
25
27
47
11
29
23
23
17
20
19
39
4
35
48
11
29
48
20
17
45
10
45
45
45
2
45
45
45
45
21
45
45
45
20
9
5
4
45
5
45
45
9
43
19
23
9
8
41
19
34
34
34
12
31
10
4
43
9
26
28
31
6
9
31
16
19
8
14
13
8
20
9
41
46
27
29
19
35
45
21
59
10
10
24
20
3
10
11
52
14
9
32
31
32
31
32
32
31
32
11
32
17
24
51
56
20
43
27
7
22
11
40
7
45
33
32
20
25
20
9
24
19
51
36
50
36
12
22
20
34
36
50
26
24
29
23
43
48
29
7
5
40
35
22
36
27
22
20
10
26
30
7
34
41
20
8
6
18
10
23
17
24
29
24
17
29
15
15
22
19
31
50
13
9
33
17
26
33
13
25
39
15
5
3
31
13
27
33
22
25
22
32
25
39
11
5
14
20
23
17
14
19
30
23
17
16
25
12
11
21
19
22
8
7
10
10
34
71
13
19
25
28
29
6
22
11
13
21
27
16
17
10
14
34
22
10
20
2
2
21
15
41
22
8
2
3
5
9
2
30
8
40
31
40
40
40
40
40
40
40
26
31
31
18
31
15
4
7
4
4
3
9
10
24
11
5
6
15
2
12
22
27
6
5
8
9
17
24
16
14
10
2
35
24
10
7
2
19
14
24
5
3
28
30
17
6
14
21
5
14
15
12
14
26
13
9
8
4
4
6
2
9
29
16
12
39
13
13
11
22
10
42
15
19
19
5
11
4
9
13
18
24
15
18
18
18
11
10
9
6
9
6
14
22
8
2
7
18
12
36
36
29
16
7
13
8
5
17
12
14
16
7
17
4
8
9
8
5
2
2
18
16
15
5
7
21
10
11
7
5
3
10
24
27
16
15
9
8
14
7
21
25
19
8
14
7
15
10
13
12
11
3
8
10
6
10
16
5
5
7
4
7
6
7
6
5
9
2
2
2
2
2
10
3
3
5
5
3
2
2
2
2
29
40
20
12
23
32
68
65
43
40
79
53
41
64
45
31
26
32
28
14
11
2
56
47
43
18
45
19
6
9
9
24
25
40
31
31
29
43
12
9
25
31
28
26
20
12
15
7
42
54
7
10
22
2
14
19
7
31
36
33
43
30
21
21
33
33
35
20
15
39
3
11
12
23
5
23
8
36
30
20
38
5
4
6
9
18
23
9
17
9
20
14
20
3
11
17
11
13
17
17
16
2
12
10
19
14
9
20
7
8
8
11
8
7
18
6
2
11
3
3
2
2
18
9
2
2
5
12
8
1
4
5
