GENE,PHENOTYPES,RANK,SCORE
ABCD1,"HP:0100543,HP:0011096,HP:0001271,HP:0003676,HP:0008167",1,-26.721662521362305
ABCD1,HP:0008167,1,-8.536327362060547
ABCD1,"HP:0100543,HP:0011096,HP:0001271,HP:0003676,HP:0008167",1,-26.721662521362305
ABCD1,"HP:0100543,HP:0011096,HP:0001271,HP:0003676,HP:0008167",1,-26.721662521362305
ABCD1,HP:0008167,1,-8.536327362060547
ABCD1,HP:0008167,1,-8.536327362060547
ABCD1,HP:0008167,1,-8.536327362060547
ABCD1,"HP:0002385,HP:0003676,HP:0008167",1,-18.870647430419922
ABCD1,"HP:0011096,HP:0003676,HP:0008167",1,-21.97197914123535
ABCD1,"HP:0002385,HP:0003676,HP:0008167",1,-18.870647430419922
ABCD1,"HP:0002385,HP:0003676,HP:0008167",1,-18.870647430419922
ABCD1,"HP:0011096,HP:0003676,HP:0008167",1,-21.97197914123535
ABCD1,"HP:0100543,HP:0011096,HP:0001271,HP:0003676,HP:0008167",1,-26.721662521362305
ABCD1,HP:0008167,1,-8.536327362060547
ABCD1,HP:0008167,1,-8.53632640838623
ABCD1,"HP:0002385,HP:0003676,HP:0008167",1,-18.870647430419922
ABCD1,"HP:0100543,HP:0011096,HP:0001271,HP:0003676,HP:0008167",1,-26.721662521362305
ABCD1,"HP:0100543,HP:0011096,HP:0001271,HP:0003676,HP:0008167",1,-26.721662521362305
ABCD1,"HP:0100543,HP:0011096,HP:0001271,HP:0003676,HP:0008167",1,-26.721662521362305
ABCD3,"HP:0003270,HP:0003256,HP:0001903,HP:0001396,HP:0002910,HP:0000421,HP:0001945,HP:0012023,HP:0002240,HP:0002904,HP:0001971,HP:0000980,HP:0001876,HP:0001409",1,-40.010032653808594
ABCD4,"HP:0001999,HP:0001627,HP:0001591,HP:0001945,HP:0001263,HP:0002160,HP:0012120,HP:0002789",1,-36.44379806518555
ABCD4,"HP:0008872,HP:0008935,HP:0002160,HP:0005599,HP:0012120,HP:0003326,HP:0009830,HP:0000556",1,-45.008724212646484
ABCD4,"HP:0001290,HP:0001263,HP:0002156,HP:0012120,HP:0002098",1,-26.109027862548828
ABCD4,"HP:0001288,HP:0002315,HP:0002160,HP:0000953,HP:0012120,HP:0001935,HP:0010532,HP:0002216",1,-44.867496490478516
ABCD4,"HP:0033443,HP:0008872,HP:0008935,HP:0002160,HP:0001254,HP:0012120",1,-38.42346954345703
ABCD4,"HP:0002160,HP:0012120,HP:0002216,HP:0007505",1,-27.120967864990234
ABCD4,"HP:0002160,HP:0012120",2,-17.04122543334961
ABCG5,"HP:0031290,HP:0000991",2,-11.264687538146973
ABCG5,"HP:0001903,HP:0003487,HP:0001677,HP:0031507,HP:0002925,HP:0000821,HP:0002395,HP:0010550,HP:0100561,HP:0010302,HP:0001744,HP:0010874,HP:0004690,HP:0000020",1,-59.339622497558594
ABCG5,"HP:0011273,HP:0003233,HP:0004325,HP:0003124,HP:0004840,HP:0003141,HP:0011877,HP:0001891,HP:0004447,HP:0004322,HP:0010874,HP:0001873,HP:0031290",1,-47.223209381103516
ABCG5,"HP:0002027,HP:0000421,HP:0001878,HP:0002904,HP:0011877,HP:0001923,HP:0001744,HP:0004446",2,-35.75148391723633
ABCG5,"HP:0001013,HP:0003124",4,-13.78318977355957
ABCG5,"HP:0031480,HP:0031443,HP:0003124,HP:0003141,HP:0010874,HP:0031290",1,-34.68595886230469
ABCG5,"HP:0011873,HP:0001510,HP:0001878,HP:0002904,HP:0011877,HP:0006298,HP:0003010,HP:0001923,HP:0004322,HP:0001744,HP:0004446,HP:0010464",1,-45.1217041015625
ABCG5,"HP:0003124,HP:0003141,HP:0000991",2,-14.436355590820312
ABCG8,HP:0003124,21,-6.848545551300049
ABCG8,"HP:0010874,HP:0031290",5,-14.459613800048828
